Orthogroup	Willisornis poecilinotus	Acanthisitta chloris	Amazona collaria	Camarhynchus parvulus	Corapipo altera	Corvus brachyrhynchos	Corvus cornix	Cyanistes caeruleus	Empidonax trailli	Erythrura gouldiae	Falco cherug	Falco peregrinus	Ficedula albicollis	Geospiza fortis	Junco hyemalis	Lepidothrix coronata	Lonchura striata	Manacus vitellinus	Melopsittacus undulatus	Neopelma chrysocephalum	Nestor notabilis	Parus major	Pipra filicauda	Pseudopodoces humilis	Serinus canaria	Taeniopygia guttata	Zonotrichia albicollis	Hypocnemis ochrogyna	Rhegmatorhina melanosticta
OG0000083	2	3	4	4	4	4	3	3	4	4	3	3	3	3	2	4	4	4	3	4	3	3	5	4	3	5	2	2	2
OG0000084	5	2	4	3	3	3	3	4	3	4	2	2	3	3	3	4	3	4	3	3	3	3	3	3	4	3	2	6	6
OG0000085	2	4	4	3	4	5	3	3	4	2	3	3	3	3	2	4	4	4	3	4	4	3	3	3	3	3	2	6	2
OG0000086	3	4	3	3	7	2	1	3	5	5	3	3	3	3	4	4	4	2	2	5	1	3	5	3	3	5	2	1	1
OG0000087	3	0	3	5	4	4	0	1	5	4	6	4	0	2	4	4	4	4	3	5	1	3	4	5	2	6	0	3	4
OG0000088	4	2	4	3	3	3	3	3	4	3	3	3	3	3	3	4	4	3	3	3	6	3	3	3	3	3	3	3	3
OG0000089	2	2	4	4	4	3	2	2	4	7	5	5	3	4	2	4	4	3	3	4	4	3	3	4	4	1	3	1	0
OG0000090	3	1	2	1	4	4	1	2	3	0	1	1	6	2	4	2	2	11	1	5	1	0	12	5	4	5	4	8	0
OG0000091	3	3	4	4	4	3	1	3	4	7	4	4	4	3	3	2	4	2	2	4	2	4	4	4	3	1	1	2	3
OG0000092	5	2	3	3	3	3	2	3	3	8	3	3	2	3	2	3	3	4	3	3	2	3	3	3	4	4	2	3	5
OG0000093	3	4	4	3	3	5	4	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3
OG0000094	2	5	3	3	4	4	2	3	4	4	3	3	4	3	5	3	3	3	5	5	5	2	4	3	2	4	1	4	0
OG0000095	3	3	4	3	3	3	3	3	3	3	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	6	2
OG0000096	3	3	4	3	4	3	3	3	3	4	3	3	3	3	3	3	3	3	2	4	3	3	4	3	4	3	3	3	2
OG0000097	5	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4
OG0000098	3	4	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	4	3	5	2	3	3
OG0000099	5	3	3	3	3	3	2	2	4	3	3	3	3	3	3	3	4	3	3	4	3	3	3	3	3	4	2	4	3
OG0000100	2	4	2	3	3	3	3	5	3	3	3	3	3	3	3	3	3	4	3	3	4	3	3	3	3	3	3	3	4
OG0000101	1	5	2	3	4	3	3	3	5	3	3	3	3	3	3	4	3	5	2	4	2	3	4	3	3	3	3	2	2
OG0000102	5	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	5	3	3	4	3	3	3	3	3	3	3	1
OG0000103	4	3	3	3	3	3	3	3	4	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
OG0000104	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3
OG0000105	3	3	4	3	3	4	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3
OG0000106	1	0	2	0	0	0	1	1	0	0	0	1	1	0	3	1	2	36	2	0	0	1	0	1	30	1	5	3	1
OG0000107	9	3	3	4	4	3	1	2	5	3	3	3	3	2	3	3	2	2	2	5	4	2	3	2	1	3	1	5	4
OG0000108	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3
OG0000109	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3
OG0000110	3	3	3	3	3	3	4	3	3	3	3	3	3	3	2	3	3	4	3	3	3	3	4	3	3	3	3	3	3
OG0000111	3	4	3	3	3	3	3	3	3	3	3	3	4	4	3	3	4	3	3	3	4	3	3	3	3	3	2	2	2
OG0000112	2	2	3	3	3	3	3	3	4	3	3	4	3	3	2	3	4	3	4	3	3	3	3	3	3	3	3	3	3
OG0000113	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4
OG0000114	4	3	3	4	3	3	3	3	3	6	3	3	3	4	2	2	2	2	3	3	3	3	3	3	3	4	2	3	2
OG0000115	2	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	4	3	3	3	3	3	3	3	2
OG0000116	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4
OG0000117	2	3	3	4	3	3	3	3	7	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	1
OG0000118	3	2	4	3	3	3	3	3	4	3	3	3	3	3	2	3	3	3	3	3	4	3	3	3	3	3	3	3	3
OG0000119	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3
OG0000120	4	4	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	2	3	2
OG0000121	4	3	2	3	3	3	2	2	3	3	3	4	3	2	5	3	4	2	2	6	3	3	3	3	3	3	2	4	1
OG0000122	3	2	6	2	2	2	2	4	3	2	3	2	2	2	2	4	3	4	3	2	5	4	3	3	2	4	3	5	4
OG0000123	3	4	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3
OG0000124	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3
OG0000125	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
OG0000126	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
OG0000127	4	3	3	3	3	3	2	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
OG0000128	3	5	3	3	4	5	2	2	3	3	3	3	2	3	3	3	3	2	3	4	3	2	3	3	2	3	3	3	2
