			Million years bins:
Rname	Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[	[40;41[	[41;42[	[42;43[	[43;44[	[44;45[	[45;46[	[46;47[	[47;48[	[48;49[	[49;50[	[50;51[	[51;52[	[52;53[	[53;54[	[54;55[	[55;56[	[56;57[	[57;58[	[58;59[	[59;60[	[60;61[	[61;62[	[62;63[	[63;64[	[64;65[	[65;66[	[66;67[	[67;68[	[68;69[	[69;70[	[70;71[	[71;72[	[72;73[	[73;74[	[74;75[	[75;76[	[76;77[	[77;78[	[78;79[	[79;80[	[80;81[	[81;82[	[82;83[	[83;84[	[84;85[	[85;86[	[86;87[	[87;88[	[88;89[	[89;90[	[90;91[	[91;92[	[92;93[	[93;94[	[94;95[	[95;96[	[96;97[	[97;98[	[98;99[	[99;100[
Wilpoe098	LTR	Unknown	133	0	0	351	200	364	2080	6173	14369	15924	22410	25114	29669	30843	25711	19693	23274	20570	13018	13777	10875	10668	8994	7218	8436	7733	4995	4391	2945	3846	3222	2459	6722	5839	5621	3015	6053	1858	611	1246	494	0	700	456	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe042	LTR	Unknown	1358	5629	34374	111420	167436	149201	74958	20975	16987	9181	8246	5913	3920	1055	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	56	21	14	0	0	0	0	0	0	0	0	0	11	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe060	LTR	ERVL	0	0	0	0	0	0	0	0	168	196	0	1144	899	5143	6068	12403	10691	14162	14412	11510	10019	4949	2984	7800	3253	2355	512	2562	1586	2242	931	976	740	257	220	582	198	260	78	120	177	226	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BuceSINE_Buceros_rhinoceros	SINE	RTE	0	0	0	0	29	0	0	41	0	32	159	0	47	98	363	185	205	355	354	581	126	211	284	54	269	346	264	177	193	50	383	46	35	58	27	10	26	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe091	LTR	ERVK	57858	168774	63277	21602	4656	2375	2023	14162	12280	18726	11414	414	12265	2035	683	3909	43	35	0	76	14	460	22	112	273	2699	2004	4431	70	788	85	1972	77	68	597	334	301	4596	877	2649	2556	4817	4686	7395	13325	11092	19888	39787	30376	38527	27400	27572	27493	12241	8971	4908	8766	6724	855	0	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AviRTE_Loa_loa	LINE	RTE-BovB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	36	88	0	111	0	0	0	0	64	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TguLTRK3d_fAlb	LTR	ERV2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UcyLTRK12	LTR	ERV2	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TguLTRL4c_fAlb	LTR	ERV3	0	0	0	0	0	0	0	40	55	0	72	59	0	149	335	40	236	265	188	601	587	461	761	2429	2459	6669	9794	15796	23101	35461	50137	40486	42962	28712	21469	25190	13740	12250	11371	6228	7064	5296	8914	4851	2484	2436	2052	704	616	235	483	192	0	15	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe007	LINE	CR1	0	97	797	19372	29687	26451	16058	28111	33742	22979	19035	20870	17958	13080	8250	10523	3045	8169	8636	4842	8832	11764	15726	10680	2477	10034	9085	5449	3395	4016	9233	3610	10415	10497	11243	9335	14861	15008	13748	15025	18212	30127	26589	39006	36489	39626	46150	46431	39207	39324	49247	45751	40033	33199	34527	12901	9509	5125	3663	809	738	610	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
